# File Name: C:\Users\Valls-testedDX\Desktop\n61_16.11.21_Advance_miRNA_RT-PCR_Neurognos_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 272323343
# Instrument Serial Number: 272323343
# Heated Cover Serial Number:
# Block Serial Number: 19041571
# Run Start Date/Time: 2021-11-16 10:47:06 AM CLST
# Run End Date/Time: 2021-11-16 11:23:49 AM CLST
# Run Duration: 36 minutes 42 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-11-16 11:39:36 AM CLST
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported On: 2021-12-15 10:48:38 AM CLST
"Well","Well Position","Cycle Number","X1_M1","X3_M3","X2_M2","X4_M4"
"47","D11","3","-12496.159","-885.3842","-117.68681","-357.70914"
"48","D12","3","-9662.827","84.756065","197.4362","-161.48363"
"49","E1","3","159137.23","16575.346","20010.158","196208.14"
"50","E2","3","162861.03","19048.912","18459.484","197383.16"
"51","E3","3","156555.44","19978.22","15974.699","188129.39"
"52","E4","3","-7735.198","-394.6831","59.276886","154.4315"
"53","E5","3","-4314.3022","-557.2834","141.71","66.74382"
"54","E6","3","-4497.287","-525.77814","-399.93317","-1194.7188"
"55","E7","3","-5194.465","-313.49933","-655.8901","154.04825"
"56","E8","3","-10821.169","-308.00327","-1032.6184","-155.1864"
"57","E9","3","-1759.0426","197.0946","1702.1469","1546.9423"
"58","E10","3","-5743.7617","-214.18535","-333.4238","-673.52515"
"59","E11","3","-9318.16","-591.2971","-1108.0347","-561.8912"
"60","E12","3","-13330.079","-718.9266","-626.4681","-996.3654"
"61","F1","3","157532.88","16864.572","20453.254","191289.39"
"62","F2","3","151672.52","18200.996","17713.87","186080.4"
"63","F3","3","158274.61","20365.678","16219.56","189661.44"
"64","F4","3","-10158.952","291.92358","261.9032","-272.74173"
"65","F5","3","-4590.2075","305.78568","786.03534","599.2433"
"66","F6","3","-11725.538","-984.17993","-957.9891","-1111.7736"
"67","F7","3","-8288.806","-179.40202","-47.372646","-537.6163"
"68","F8","3","-4440.4087","-91.54056","797.7777","501.03378"
"69","F9","3","-4748.7734","-147.81969","313.3417","196.14983"
"70","F10","3","-8046.357","-27.849983","8.104036","347.72232"
"71","F11","3","-11030.271","-594.4951","-307.62445","-601.7283"
"72","F12","3","-12784.408","-782.1146","515.90466","-442.71213"
"73","G1","3","158542.2","16516.104","21009.1","197004.86"
"74","G2","3","165303.53","18264.557","19457.64","196232.47"
"75","G3","3","158978.62","19072.268","17217.186","193279.39"
"76","G4","3","-8896.96","-340.45184","-430.31485","527.07605"
"77","G5","3","-10398.45","-285.2035","-212.49152","-339.28857"
"78","G6","3","-7691.171","-160.08273","-776.2583","662.5014"
"79","G7","3","-5938.2637","-76.02791","167.54135","389.76065"
"80","G8","3","-8183.2935","61.758278","-134.3469","-826.89075"
"81","G9","3","-8034.419","30.958742","437.86795","1528.2261"
"82","G10","3","-8820.063","-198.99359","691.1551","1023.01215"
"83","G11","3","-10818.492","-777.8535","52.09974","-677.93945"
"84","G12","3","-14524.659","-1349.4167","39.75902","-1184.2781"
"85","H1","3","167523.31","15820.489","24971.18","198326.53"
"86","H2","3","157356.95","16028.539","20698.568","191023.11"
"87","H3","3","151147.14","17566.516","18589.846","188337.2"
"88","H4","3","-6940.7173","80.14997","859.98206","1001.7387"
"89","H5","3","-682.90826","290.4213","1435.4733","112.5384"
"90","H6","3","-8745.297","264.19025","462.57083","324.3464"
"91","H7","3","-12771.329","-160.51982","-765.9094","-1629.8071"
"92","H8","3","-8568.492","225.78142","31.240273","-1149.5875"
"93","H9","3","-16003.059","-1090.6377","683.4679","259.61496"
"94","H10","3","-10101.617","103.608955","594.3242","565.32477"
"95","H11","3","-11482.39","-741.36694","-432.22385","-1508.3228"
"96","H12","3","-4799.81","77.43153","3225.6855","-119.59501"
"1","A1","4","151427.77","13461.598","20759.865","179550.66"
"2","A2","4","163266.44","17667.766","20375.38","195942.12"
"3","A3","4","162332.6","18382.273","18632.889","193380.8"
"4","A4","4","151276.55","18725.764","16206.675","178499.23"
"5","A5","4","147267.77","19208.531","14748.973","174898.22"
"6","A6","4","142757.25","20010.479","14355.059","171220.33"
"7","A7","4","-6129.897","-49.987217","-1191.2771","-164.25285"
"8","A8","4","-1717.2958","93.93471","51.735973","825.228"
"9","A9","4","-7149.5874","-57.29795","-1053.4298","513.02496"
"10","A10","4","-6246.8813","915.5232","-139.46562","1155.8496"
"11","A11","4","-4542.2554","660.2551","599.1053","-244.57275"
"12","A12","4","-4702.6567","1083.9729","40.980957","887.33734"
"13","B1","4","165040.28","16439.578","21214.996","198255.08"
"14","B2","4","165421.03","18450.441","19925.098","196711.67"
"15","B3","4","163091.14","20823.877","17464.258","193812.56"
"16","B4","4","147997.34","20959.035","14934.749","185318.64"
"17","B5","4","145575.69","20642.521","13136.438","172936.53"
"18","B6","4","160069.2","22708.979","14980.476","187929.16"
"19","B7","4","-3496.9487","825.624","87.1078","-18.897564"
"20","B8","4","-5564.1406","-12.804631","-120.79154","-349.81885"
"21","B9","4","2900.063","-526.7177","-440.45108","-271.20615"
"22","B10","4","-8047.602","236.34927","-492.87714","-354.402"
"23","B11","4","-4444.2505","-148.50308","20.912254","51.670033"
"24","B12","4","-12459.537","141.4206","-8.4269495","-669.7154"
"25","C1","4","164072.14","17382.54","20777.49","200436.69"
"26","C2","4","161454.78","18770.492","18418.916","193978.06"
"27","C3","4","160681.78","20906.58","16482.486","193189.64"
"28","C4","4","153565.58","21391.922","15170.128","184969.14"
"29","C5","4","157315.03","22452.105","13862.334","182327.14"
"30","C6","4","128249.84","18258.209","11878.155","147264.05"
"31","C7","4","-7959.148","-439.68393","171.93155","294.9932"
"32","C8","4","-7722.001","-272.56516","-502.50314","-295.14194"
"33","C9","4","-6548.2925","-55.424046","-230.32729","-143.7004"
"34","C10","4","-9504.476","-735.1165","-493.4804","-446.61453"
"35","C11","4","-9682.075","-1188.8307","-959.3679","-1053.173"
"36","C12","4","-8874.388","-330.0061","-351.56042","-260.702"
"37","D1","4","163889.03","17739.531","20652.459","197234.33"
"38","D2","4","158698.19","18736.598","17572.857","187896.84"
"39","D3","4","159966.7","21103.955","16609.115","190689.53"
"40","D4","4","-7230.6284","-455.55988","321.23566","780.0804"
"41","D5","4","-12363.3","-528.0191","-842.44025","-679.6927"
"42","D6","4","-7021.0376","-393.9856","-410.3654","53.12687"
"43","D7","4","-4622.156","-330.40836","-202.62398","84.793594"
"44","D8","4","-7232.6357","-538.3354","-413.61157","-515.16785"
"45","D9","4","-7077.693","-9.948838","385.5596","-401.97897"
"46","D10","4","-8081.0825","115.48065","236.75725","423.43597"
"47","D11","4","-12058.419","-772.8977","-288.8779","-641.159"
"48","D12","4","-9396.638","111.66714","149.01938","-320.37732"
"49","E1","4","162143.08","16446.855","20205.748","198164.45"
"50","E2","4","163385.16","18944.086","18835.871","198210.97"
"51","E3","4","158893.22","20027.87","15974.478","189337.78"
"52","E4","4","-7672.765","-608.56573","190.77037","165.58835"
"53","E5","4","-3886.262","-384.85876","-72.51311","412.86288"
"54","E6","4","-4396.1885","-496.3818","-126.1375","-549.2552"
"55","E7","4","-4795.2227","-381.03693","-208.63889","165.82336"
"56","E8","4","-9820.894","-164.9725","-610.13354","-177.12758"
"57","E9","4","-2555.6785","378.72272","1609.9282","1010.91437"
"58","E10","4","-6061.427","-398.85217","166.8527","-492.85043"
"59","E11","4","-9787.837","-950.8339","-415.96384","-453.60828"
"60","E12","4","-13525.822","-1089.5773","-422.5365","-598.5507"
"61","F1","4","160959.11","16772.748","20794.178","193617.33"
"62","F2","4","153545.83","18245.27","17745.758","187340.89"
"63","F3","4","159820.55","20518.8","16547.809","190327.95"
